
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)
   20 г
  Помидоры,14,"0,16","0,037","3,14",1,"2,1","0,7",4,0,190
   80 г
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
 Обед,459,"6,93","2,082","63,4","0,8","5,18","33,86",1393,88,716
  Котлеты из Индейки на Пару,179,"4,93","2,082",9,"0,8","5,18","23,46",1393,88,412
   150 г
  Макфа Крупа Гречневая,280,2,,"54,4",,,"10,4",,,304
   80 г
 Ужин,216,"10,78",,0,,,"27,72",,,
  Пава Пава Фарш Нежный Охлажденный,216,"10,78",,0,,,"27,72",,,
   154 г
 Перекус/Другое,777,"16,09","1,27","126,65","4,4","15,6","56,23","961,48",,"465,4"
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  Natty's Арахисовая Паста Кранчи,61,"4,9","0,5","2,1","0,7",0,"2,4","0,18",,
   10 г
  Пятерочка Банан,116,"0,39","0,13","29,9","1,3","15,6","1,43","1,3",,"465,4"
   130 г
  Exponenta Exponenta High-Pro Солёная Карамель,60,0,,"6,25",,,30,,,
"   1 стакан, 250 г"
  Пятерочка Чикен Ролл,318,6,,50,,,16,,,
   200 г

"пятница, марта 28, 2025",2178,"88,14","11,22","209,51","2,1","13,4","154,89",2774,1025,1490
 Завтрак,402,"29,54","8,211",5,1,"3,76","27,82",1040,912,480
  Помидоры,14,"0,16","0,037","3,14",1,"2,1","0,7",4,0,190
   80 г
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
 Обед,737,"17,26","1,804","99,11","0,7","4,49",43,1208,76,737
"  Пестравка Молоко 2,5%",53,"2,5",,"4,7",,,3,,,
   100 мл
  Додо Пицца Пицца Цыпленок Барбекю Традиционнoе - Большая,178,"7,99",,"18,61",,,"6,67",,,
   66 г
  Макфа Крупа Гречневая,350,"2,5",,68,,,13,,,380
   100 г
  Котлеты из Индейки на Пару,156,"4,27","1,804","7,8","0,7","4,49","20,33",1208,76,357
   130 г
 Ужин,781,"41,34","1,205","50,55","0,4","5,15","53,47",526,37,273
  Том Ям,121,"4,34","1,205","8,55","0,4","5,15","11,47",526,37,273
   1 чашка
  J'pan Соба с Тунцом,660,37,,42,,,42,,,
   1 порция
 Перекус/Другое,258,0,,"54,85",,,"30,6",,,
  Exponenta Exponenta High-Pro Солёная Карамель,60,0,,"6,25",,,30,,,
"   1 стакан, 250 г"
  Шарлиз Зефир Бело-Розовый,198,0,,"48,6",,,"0,6",,,
   60 г

"суббота, марта 29, 2025",2600,"107,33","1,968","184,74","30,1","20,04","170,9",962,0,"342,5"
 Завтрак,483,"21,88","1,818","44,04","6,2","2,04","30,65",962,0,"342,5"
  Фабрика Качества Рулет по-Деревенски Экстра,144,6,,0,,,"22,8",,,
   120 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
   2 x 1 ломтик (80 г)
  Помидоры,7,"0,08","0,018","1,57","0,5","1,05","0,35",2,0,95
   40 г
  Авокадо Авокадо,110,11,"1,16","4,07","3,3","0,99","1,1",,,"247,5"
   55 г
 Обед,1457,74,,85,,,74,,,
  Ресторан Честных Цен Запеченные Свиные Ребрышки,700,51,,36,,,24,,,
   60 г
  Ресторан Честных Цен Грудка Цыпленка на Гриле,423,10,,43,,,33,,,
   100 г
  Ресторан Честных Цен Тайский Суп,334,13,,6,,,17,,,
   100 г
 Ужин,233,"0,15","0,15","37,5","3,9",18,"22,25",,,
  Магнит Банан,134,"0,15","0,15","32,7","3,9",18,"2,25",,,
   150 г
  Exponenta Exponenta High-Pro Черника-Малина,99,0,,"4,8",,,20,,,
   160 г
 Перекус/Другое,427,"11,3",,"18,2",20,,44,,,
  Ресторан Честных Цен Дубайский Шоколад,242,6,,14,,,24,,,
   100 г
  Boombar Протеиновый Батончик Тирамису,185,"5,3",,"4,2",20,,20,,,
   1 батончик (60 г)

"воскресенье, марта 30, 2025",1742,"57,08","11,523","175,95","6,7","11,82","127,36",3772,1023,1476
 Завтрак,400,"29,59","8,209","4,16","0,8","3,12","27,99",1043,912,459
  Руккола,5,"0,13","0,017","0,73","0,3","0,41","0,52",5,0,74
   20 г
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
  Помидоры,7,"0,08","0,018","1,57","0,5","1,05","0,35",2,0,95
   40 г
 Обед,358,"4,14","0,902","58,3","0,4","2,24","20,57",604,38,483
  Котлеты из Индейки на Пару,78,"2,14","0,902","3,9","0,4","2,24","10,17",604,38,179
   65 г
  Макфа Крупа Гречневая,280,2,,"54,4",,,"10,4",,,304
   80 г
 Ужин,310,"5,36","1,735",38,"0,7","4,32","25,55",1161,73,344
  Степь Агрохолдинг Гречка,160,"1,25",,"30,5",,,6,,,
   50 г
  Котлеты из Индейки на Пару,150,"4,11","1,735","7,5","0,7","4,32","19,55",1161,73,344
   125 г
 Перекус/Другое,674,"17,99","0,677","75,49","4,8","2,14","53,25",964,0,190
"  Parmalat Молоко Безлактозное 0,05%",112,"0,18",,"16,45",,"0,04","11,2",,,
   350 мл
  Snaqer Whey Protein Cocktail ,125,"2,8",,"3,5","1,4",,21,,,
   35 г
  Nestle Goodmix Salted Peanut Taste,123,"6,8",,14,,,"1,6",,,
   1 батончик (23 г)
  Фабрика Качества Рулет по-Деревенски Экстра,78,"3,25",,0,,,"12,35",,,
   65 г
  Помидоры,14,"0,16","0,037","3,14",1,"2,1","0,7",4,0,190
   80 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"

"понедельник, марта 31, 2025",2102,"62,24","10,48","218,53","7,86","13,89","162,66",3481,887,1847
 Завтрак,480,"29,87","7,789","11,64","2,6","7,27","40,71",1260,749,1007
  Горбуша Соленая,142,"7,29","1,538",0,0,0,"17,88",468,65,212
   81 г
  Помидоры,27,"0,3","0,069","5,88","1,8","3,94","1,32",8,0,356
   150 г
  Жареное Яйцо,291,"22,04","6,131","1,4",0,"1,25","20,34",777,684,218
   150 г
  Руккола,5,"0,13","0,017","0,73","0,3","0,41","0,52",5,0,74
   20 г
  Огурец (с Кожурой),15,"0,11","0,034","3,63","0,5","1,67","0,65",2,0,147
   100 г
 Обед,428,"4,59","1,804","69,4","0,7","4,49","25,93",1208,76,357
  Котлеты из Индейки на Пару,156,"4,27","1,804","7,8","0,7","4,49","20,33",1208,76,357
   130 г
  Селяночка Рис Длиннозёрный,272,"0,32",,"61,6",,,"5,6",,,
   80 г
 Ужин,452,"5,15","0,21","54,55",0,,"44,2",49,62,293
  Филе Индейки,111,"0,65","0,21",0,0,,"24,6",49,62,293
   100 г
  NEO Греческий Йогурт,85,"2,5",,"5,75",,,10,,,
   125 г
  Степь Агрохолдинг Гречка,256,2,,"48,8",,,"9,6",,,
   80 г
 Перекус/Другое,742,"22,63","0,677","82,94","4,56","2,13","51,82",964,0,190
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
   2 x 1 ломтик (80 г)
  Помидоры,14,"0,16","0,037","3,14",1,"2,1","0,7",4,0,190
   80 г
  Фабрика Качества Рулет по-Деревенски Экстра,96,4,,0,,,"15,2",,,
   80 г
  Nestle Good Mix,210,"11,2",,"24,4",,,"2,52",,,
   40 г
"  Parmalat Молоко Безлактозное 0,05%",96,"0,15",,"14,1",,"0,03","9,6",,,
   300 мл
  Snaqer Whey Protein Cocktail,104,"2,32",,"2,9","1,16",,"17,4",,,
   29 г

