
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)
  Магнит Банан,98,"0,11","0,11","23,98","2,86","13,2","1,65",,,
   110 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  Natty's Арахисовая Паста Кранчи,122,"9,8",1,"4,2","1,4",0,"4,8","0,35",,
   20 г

"среда, февраля 26, 2025",1937,"82,14","12,74","149,63","3,7","16,33","145,63",1166,1016,1639
 Завтрак,406,"29,58","8,22","5,78","1,2","4,29",28,1041,912,527
  Помидоры,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 г
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
 Обед,594,"2,83","0,594",90,0,0,"49,36",117,104,459
  Селяночка Рис Круглозёрный Шлифованный,396,"0,6",,90,,,"7,8",,,
   120 г
  Куриные Грудки,198,"2,23","0,594",0,0,0,"41,56",117,104,459
   180 г
 Ужин,565,"36,18","0,026","25,3","2,5","1,84","34,52",8,0,653
  Рестория Шеф  Шейка Свиная ,452,36,,0,,0,32,,,
   200 г
"  Белый Картофель (с Кожурой, Запеченный)",113,"0,18","0,026","25,3","2,5","1,84","2,52",8,0,653
   120 г
 Перекус/Другое,372,"13,55","3,9","28,55",,"10,2","33,75",,,
"  Вкусняев Молоко 1,5%",111,"3,75",,"11,75",,0,"7,5",,,
   250 г
  Bombbar Casein,103,"0,5",,"0,6",,,24,,,
   1 порция (30 г)
  Акконд Десерт Добрянка Фундук,158,"9,3","3,9","16,2",,"10,2","2,25",,,
   30 г

"четверг, февраля 27, 2025",2416,"58,17","18,697","313,71","40,16","71,52","150,54","729,36",315,1513
 Завтрак,391,"5,2","0,18","66,73","20,26","13,44","16,43","0,36",,480
"  Вкусняев Молоко 1,5%",111,"3,75",,"11,75",,0,"7,5",,,
   250 г
  Maxi Vita Хлопья Гречневые,74,"0,54",,15,,0,"2,08",,,
   20 г
  Ого Отруби Ржаные,108,"0,8","0,07",16,"17,4","0,24","5,2","0,36",,480
   40 г
  Магнит Банан,98,"0,11","0,11","23,98","2,86","13,2","1,65",,,
   110 г
 Обед,616,"3,08","0,66",90,0,0,"53,98",130,116,510
  Селяночка Рис Круглозёрный Шлифованный,396,"0,6",,90,,,"7,8",,,
   120 г
  Куриные Грудки,220,"2,48","0,66",0,0,0,"46,18",130,116,510
   200 г
 Ужин,780,"11,84","1,321","90,17","17,1","1,14","70,11",344,112,264
  Котлеты из Куриной Грудки,158,"4,59","1,321","4,62","0,3","1,14","23,01",344,112,264
   120 г
  Увелка Гречка в Пакетиках,408,3,,"73,2","16,8",0,"15,6",,,
   120 г
"  Вкусняев Молоко 1,5%",111,"3,75",,"11,75",,0,"7,5",,,
   250 г
  Bombbar Casein,103,"0,5",,"0,6",,,24,,,
   1 порция (30 г)
 Перекус/Другое,629,"38,05","16,536","66,81","2,8","56,94","10,02",255,87,259
  Грецкие Орехи,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 г
  Меренговый Рулет,498,"25,01","15,311","64,07","1,5","56,42","6,97",255,87,171
   200 г

"пятница, февраля 28, 2025",2383,"73,34","14,604","274,13","15,76","40,07","151,5","3203,35",1143,2001
 Завтрак,406,"29,58","8,22","5,78","1,2","4,29",28,1041,912,527
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
  Помидоры,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 г
